name,lat,lng,type,size,shape,Primary Market,Airing,Participant,PRX Dovetail hosts,Impact,audio,Podcast Portfolio,Total Donors,To PRX,To Radiotopia,To <i>Ear Hustle</i>,To <i>The World</i>,Other,Downloads in FY25
WEVQ-FM:,44.3060969,-71.7703013,broadcast,xlarge,,"Littleton, NH",<i>Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World</i>,,,,,,,,,,,,
WEVO-FM:,43.2062206,-71.5398156,broadcast,xlarge,,"Concord, NH",<i>Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World</i>,,,,,,,,,,,,
WEVN-FM:,42.933692,-72.2781409,broadcast,xlarge,,"Keene, NH",<i>Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World</i>,,,,,,,,,,,,
WEVJ-FM:,44.1462613,-71.1850996,broadcast,xlarge,,"Jackson, NH",<i>Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World</i>,,,,,,,,,,,,
WEVH-FM:,43.7022451,-72.2895526,broadcast,xlarge,,"Hanover, NH",<i>Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World</i>,,,,,,,,,,,,
WEVF-FM:,40.0189728,-105.2747406,broadcast,xlarge,,"Boulder, CO",<i>Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World</i>,,,,,,,,,,,,
WEVC-FM:,44.4686696,-71.1850768,broadcast,xlarge,,"Berlin, NH",<i>Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World</i>,,,,,,,,,,,,
WNJZ-FM:,39.0826135,-74.8237786,broadcast,xlarge,,"Cape May Court House, NJ",<i>Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think</i>,,,,,,,,,,,,
WNJS-FM:,39.7913685,-74.9293769,broadcast,xlarge,,"Berlin, NJ",<i>Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think</i>,,,,,,,,,,,,
WNJN-FM:,39.3636917,-74.4291041,broadcast,xlarge,,"Atlantic City, NJ",<i>Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think</i>,,,,,,,,,,,,
WNJM-FM:,39.695397,-74.2587527,broadcast,xlarge,,"Manahawkin, NJ",<i>Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think</i>,,,,,,,,,,,,
WNJB-FM:,39.4269713,-75.2341766,broadcast,xlarge,,"Bridgeton, NJ",<i>Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think</i>,,,,,,,,,,,,
WHYY-FM:,39.9525839,-75.1652215,broadcast,xlarge,,"Philadelphia, PA",<i>Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think</i>,,,,,,,,,,,,
WSCN-FM:,46.7844571,-92.1055411,broadcast,xlarge,,"Duluth, MN","<i>Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WLSN-FM:,47.7504469,-90.3342727,broadcast,xlarge,,"Grand Marais, MN","<i>Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WIRN-FM:,47.4935403,-92.7779599,broadcast,xlarge,,"Buhl, MN","<i>Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WIRC-FM:,47.9032372,-91.8670873,broadcast,xlarge,,"Ely, MN","<i>Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WINH-FM:,46.013772,-92.921562,broadcast,xlarge,,"Hinckley, MN","<i>Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WGRH-FM:,46.015,-92.9388889,broadcast,xlarge,,"Hinckley, MN","<i>Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
KZSE-FM:,44.0193287,-92.4588327,broadcast,xlarge,,"Rochester, MN","<i>Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
